"","site_id","participant_id","condition","session","workout","exercise","set_type","weight","reps"
"1",1,1,"low",1,"B","db incline hammer curl","direct",20,10
"2",1,1,"low",1,"B","db romanian deadlift","direct",35,10
"3",1,1,"low",1,"B","db seated triceps (french press)","direct",35,9
"4",1,1,"low",1,"A","db supine triceps ext.","direct",20,9
"5",1,1,"low",1,"A","imagine chest press","indirect",150,9
"6",1,1,"low",1,"A","imagine leg ext.","direct",180,8
"7",1,1,"low",1,"B","imagine overhead press","indirect",130,10
"8",1,1,"low",1,"A","imagine seated leg curl","direct",110,11
"9",1,1,"low",1,"B","imagine seated row","indirect",220,9
"10",1,1,"low",1,"A","imagine torso arm - sup","indirect",240,10
"11",1,1,"low",1,"A","medx leg press - squat","direct",340,10
"12",1,1,"low",1,"A","split stance biceps curl","direct",25,10
"13",1,1,"low",2,"B","db incline hammer curl","direct",22.5,9
"14",1,1,"low",2,"B","db romanian deadlift","direct",40,10
"15",1,1,"low",2,"B","db seated triceps (french press)","direct",35,10
"16",1,1,"low",2,"A","db supine triceps ext.","direct",20,10
"17",1,1,"low",2,"A","imagine chest press","indirect",150,8
"18",1,1,"low",2,"A","imagine leg ext.","direct",180,9
"19",1,1,"low",2,"B","imagine overhead press","indirect",134,10
"20",1,1,"low",2,"A","imagine seated leg curl","direct",112,10
"21",1,1,"low",2,"B","imagine seated row","indirect",220,11
"22",1,1,"low",2,"A","imagine torso arm - sup","indirect",246,8
"23",1,1,"low",2,"A","medx leg press - squat","direct",342,15
"24",1,1,"low",2,"A","split stance biceps curl","direct",25,8
"25",1,1,"low",3,"B","db incline hammer curl","direct",22.5,NA
"26",1,1,"low",3,"B","db romanian deadlift","direct",40,10
"27",1,1,"low",3,"B","db seated triceps (french press)","direct",35,NA
"28",1,1,"low",3,"A","db supine triceps ext.","direct",20,10
"29",1,1,"low",3,"A","imagine chest press","indirect",150,8
"30",1,1,"low",3,"A","imagine leg ext.","direct",180,9
"31",1,1,"low",3,"B","imagine overhead press","indirect",138,NA
"32",1,1,"low",3,"A","imagine seated leg curl","direct",114,9
"33",1,1,"low",3,"B","imagine seated row","indirect",220,NA
"34",1,1,"low",3,"A","imagine torso arm - sup","indirect",246,8
"35",1,1,"low",3,"A","medx leg press - squat","direct",346,12
"36",1,1,"low",3,"A","split stance biceps curl","direct",25,10
"37",1,1,"low",4,"B","db incline hammer curl","direct",22.5,8
"38",1,1,"low",4,"B","db romanian deadlift","direct",40,10
"39",1,1,"low",4,"B","db seated triceps (french press)","direct",35,10
"40",1,1,"low",4,"A","db supine triceps ext.","direct",20,10
"41",1,1,"low",4,"A","imagine chest press","indirect",150,9
"42",1,1,"low",4,"A","imagine leg ext.","direct",180,10
"43",1,1,"low",4,"B","imagine overhead press","indirect",138,10
"44",1,1,"low",4,"A","imagine seated leg curl","direct",114,11
"45",1,1,"low",4,"B","imagine seated row","indirect",220,10
"46",1,1,"low",4,"A","imagine torso arm - sup","indirect",246,10
"47",1,1,"low",4,"A","medx leg press - squat","direct",350,10
"48",1,1,"low",4,"A","split stance biceps curl","direct",30,8
"49",1,1,"low",5,"B","db incline hammer curl","direct",22.5,NA
"50",1,1,"low",5,"B","db romanian deadlift","direct",40,NA
"51",1,1,"low",5,"B","db seated triceps (french press)","direct",35,NA
"52",1,1,"low",5,"A","db supine triceps ext.","direct",20,NA
"53",1,1,"low",5,"A","imagine chest press","indirect",150,8
"54",1,1,"low",5,"A","imagine leg ext.","direct",182,9
"55",1,1,"low",5,"B","imagine overhead press","indirect",140,NA
"56",1,1,"low",5,"A","imagine seated leg curl","direct",116,10
"57",1,1,"low",5,"B","imagine seated row","indirect",222,NA
"58",1,1,"low",5,"A","imagine torso arm - sup","indirect",248,9
"59",1,1,"low",5,"A","medx leg press - squat","direct",350,10
"60",1,1,"low",5,"A","split stance biceps curl","direct",30,NA
"61",1,1,"low",6,"B","db incline hammer curl","direct",NA,NA
"62",1,1,"low",6,"B","db romanian deadlift","direct",NA,NA
"63",1,1,"low",6,"B","db seated triceps (french press)","direct",NA,NA
"64",1,1,"low",6,"A","db supine triceps ext.","direct",NA,NA
"65",1,1,"low",6,"A","imagine chest press","indirect",150,NA
"66",1,1,"low",6,"A","imagine leg ext.","direct",182,NA
"67",1,1,"low",6,"B","imagine overhead press","indirect",NA,NA
"68",1,1,"low",6,"A","imagine seated leg curl","direct",118,NA
"69",1,1,"low",6,"B","imagine seated row","indirect",NA,NA
"70",1,1,"low",6,"A","imagine torso arm - sup","indirect",248,NA
"71",1,1,"low",6,"A","medx leg press - squat","direct",354,8
"72",1,1,"low",6,"A","split stance biceps curl","direct",NA,NA
"73",1,1,"low",7,"B","db incline hammer curl","direct",NA,NA
"74",1,1,"low",7,"B","db romanian deadlift","direct",NA,NA
"75",1,1,"low",7,"B","db seated triceps (french press)","direct",NA,NA
"76",1,1,"low",7,"A","db supine triceps ext.","direct",15,NA
"77",1,1,"low",7,"A","imagine chest press","indirect",150,NA
"78",1,1,"low",7,"A","imagine leg ext.","direct",240,5
"79",1,1,"low",7,"B","imagine overhead press","indirect",NA,NA
"80",1,1,"low",7,"A","imagine seated leg curl","direct",116,7
"81",1,1,"low",7,"B","imagine seated row","indirect",NA,NA
"82",1,1,"low",7,"A","imagine torso arm - sup","indirect",240,NA
"83",1,1,"low",7,"A","medx leg press - squat","direct",350,6
"84",1,1,"low",7,"A","split stance biceps curl","direct",25,NA
"85",1,1,"low",8,"B","db incline hammer curl","direct",NA,NA
"86",1,1,"low",8,"B","db romanian deadlift","direct",NA,NA
"87",1,1,"low",8,"B","db seated triceps (french press)","direct",NA,NA
"88",1,1,"low",8,"A","db supine triceps ext.","direct",NA,NA
"89",1,1,"low",8,"A","imagine chest press","indirect",NA,NA
"90",1,1,"low",8,"A","imagine leg ext.","direct",NA,NA
"91",1,1,"low",8,"B","imagine overhead press","indirect",NA,NA
"92",1,1,"low",8,"A","imagine seated leg curl","direct",NA,NA
"93",1,1,"low",8,"B","imagine seated row","indirect",NA,NA
"94",1,1,"low",8,"A","imagine torso arm - sup","indirect",NA,NA
"95",1,1,"low",8,"A","medx leg press - squat","direct",NA,NA
"96",1,1,"low",8,"A","split stance biceps curl","direct",NA,NA
"97",1,1,"low",9,"B","db incline hammer curl","direct",NA,NA
"98",1,1,"low",9,"B","db romanian deadlift","direct",NA,NA
"99",1,1,"low",9,"B","db seated triceps (french press)","direct",NA,NA
"100",1,1,"low",9,"A","db supine triceps ext.","direct",NA,NA
"101",1,1,"low",9,"A","imagine chest press","indirect",NA,NA
"102",1,1,"low",9,"A","imagine leg ext.","direct",NA,NA
"103",1,1,"low",9,"B","imagine overhead press","indirect",NA,NA
"104",1,1,"low",9,"A","imagine seated leg curl","direct",NA,NA
"105",1,1,"low",9,"B","imagine seated row","indirect",NA,NA
"106",1,1,"low",9,"A","imagine torso arm - sup","indirect",NA,NA
"107",1,1,"low",9,"A","medx leg press - squat","direct",NA,NA
"108",1,1,"low",9,"A","split stance biceps curl","direct",NA,NA
"109",1,1,"low",10,"B","db incline hammer curl","direct",NA,NA
"110",1,1,"low",10,"B","db romanian deadlift","direct",NA,NA
"111",1,1,"low",10,"B","db seated triceps (french press)","direct",NA,NA
"112",1,1,"low",10,"A","db supine triceps ext.","direct",NA,NA
"113",1,1,"low",10,"A","imagine chest press","indirect",NA,NA
"114",1,1,"low",10,"A","imagine leg ext.","direct",NA,NA
"115",1,1,"low",10,"B","imagine overhead press","indirect",NA,NA
"116",1,1,"low",10,"A","imagine seated leg curl","direct",NA,NA
"117",1,1,"low",10,"B","imagine seated row","indirect",NA,NA
"118",1,1,"low",10,"A","imagine torso arm - sup","indirect",NA,NA
"119",1,1,"low",10,"A","medx leg press - squat","direct",NA,NA
"120",1,1,"low",10,"A","split stance biceps curl","direct",NA,NA
"121",1,1,"low",11,"B","db incline hammer curl","direct",NA,NA
"122",1,1,"low",11,"B","db romanian deadlift","direct",NA,NA
"123",1,1,"low",11,"B","db seated triceps (french press)","direct",NA,NA
"124",1,1,"low",11,"A","db supine triceps ext.","direct",NA,NA
"125",1,1,"low",11,"A","imagine chest press","indirect",NA,NA
"126",1,1,"low",11,"A","imagine leg ext.","direct",NA,NA
"127",1,1,"low",11,"B","imagine overhead press","indirect",NA,NA
"128",1,1,"low",11,"A","imagine seated leg curl","direct",NA,NA
"129",1,1,"low",11,"B","imagine seated row","indirect",NA,NA
"130",1,1,"low",11,"A","imagine torso arm - sup","indirect",NA,NA
"131",1,1,"low",11,"A","medx leg press - squat","direct",NA,NA
"132",1,1,"low",11,"A","split stance biceps curl","direct",NA,NA
"133",1,1,"low",12,"B","db incline hammer curl","direct",NA,NA
"134",1,1,"low",12,"B","db romanian deadlift","direct",NA,NA
"135",1,1,"low",12,"B","db seated triceps (french press)","direct",NA,NA
"136",1,1,"low",12,"A","db supine triceps ext.","direct",NA,NA
"137",1,1,"low",12,"A","imagine chest press","indirect",NA,NA
"138",1,1,"low",12,"A","imagine leg ext.","direct",NA,NA
"139",1,1,"low",12,"B","imagine overhead press","indirect",NA,NA
"140",1,1,"low",12,"A","imagine seated leg curl","direct",NA,NA
"141",1,1,"low",12,"B","imagine seated row","indirect",NA,NA
"142",1,1,"low",12,"A","imagine torso arm - sup","indirect",NA,NA
"143",1,1,"low",12,"A","medx leg press - squat","direct",NA,NA
"144",1,1,"low",12,"A","split stance biceps curl","direct",NA,NA
"145",1,1,"low",13,"B","db incline hammer curl","direct",NA,NA
"146",1,1,"low",13,"B","db romanian deadlift","direct",NA,NA
"147",1,1,"low",13,"B","db seated triceps (french press)","direct",NA,NA
"148",1,1,"low",13,"A","db supine triceps ext.","direct",NA,NA
"149",1,1,"low",13,"A","imagine chest press","indirect",NA,NA
"150",1,1,"low",13,"A","imagine leg ext.","direct",NA,NA
"151",1,1,"low",13,"B","imagine overhead press","indirect",NA,NA
"152",1,1,"low",13,"A","imagine seated leg curl","direct",NA,NA
"153",1,1,"low",13,"B","imagine seated row","indirect",NA,NA
"154",1,1,"low",13,"A","imagine torso arm - sup","indirect",NA,NA
"155",1,1,"low",13,"A","medx leg press - squat","direct",NA,NA
"156",1,1,"low",13,"A","split stance biceps curl","direct",NA,NA
"157",1,1,"low",14,"B","db incline hammer curl","direct",NA,NA
"158",1,1,"low",14,"B","db romanian deadlift","direct",NA,NA
"159",1,1,"low",14,"B","db seated triceps (french press)","direct",NA,NA
"160",1,1,"low",14,"A","db supine triceps ext.","direct",NA,NA
"161",1,1,"low",14,"A","imagine chest press","indirect",NA,NA
"162",1,1,"low",14,"A","imagine leg ext.","direct",NA,NA
"163",1,1,"low",14,"B","imagine overhead press","indirect",NA,NA
"164",1,1,"low",14,"A","imagine seated leg curl","direct",NA,NA
"165",1,1,"low",14,"B","imagine seated row","indirect",NA,NA
"166",1,1,"low",14,"A","imagine torso arm - sup","indirect",NA,NA
"167",1,1,"low",14,"A","medx leg press - squat","direct",NA,NA
"168",1,1,"low",14,"A","split stance biceps curl","direct",NA,NA
"169",1,1,"low",15,"B","db incline hammer curl","direct",NA,NA
"170",1,1,"low",15,"B","db romanian deadlift","direct",NA,NA
"171",1,1,"low",15,"B","db seated triceps (french press)","direct",NA,NA
"172",1,1,"low",15,"A","db supine triceps ext.","direct",NA,NA
"173",1,1,"low",15,"A","imagine chest press","indirect",NA,NA
"174",1,1,"low",15,"A","imagine leg ext.","direct",NA,NA
"175",1,1,"low",15,"B","imagine overhead press","indirect",NA,NA
"176",1,1,"low",15,"A","imagine seated leg curl","direct",NA,NA
"177",1,1,"low",15,"B","imagine seated row","indirect",NA,NA
"178",1,1,"low",15,"A","imagine torso arm - sup","indirect",NA,NA
"179",1,1,"low",15,"A","medx leg press - squat","direct",NA,NA
"180",1,1,"low",15,"A","split stance biceps curl","direct",NA,NA
"181",1,1,"low",16,"B","db incline hammer curl","direct",NA,NA
"182",1,1,"low",16,"B","db romanian deadlift","direct",NA,NA
"183",1,1,"low",16,"B","db seated triceps (french press)","direct",NA,NA
"184",1,1,"low",16,"A","db supine triceps ext.","direct",NA,NA
"185",1,1,"low",16,"A","imagine chest press","indirect",NA,NA
"186",1,1,"low",16,"A","imagine leg ext.","direct",NA,NA
"187",1,1,"low",16,"B","imagine overhead press","indirect",NA,NA
"188",1,1,"low",16,"A","imagine seated leg curl","direct",NA,NA
"189",1,1,"low",16,"B","imagine seated row","indirect",NA,NA
"190",1,1,"low",16,"A","imagine torso arm - sup","indirect",NA,NA
"191",1,1,"low",16,"A","medx leg press - squat","direct",NA,NA
"192",1,1,"low",16,"A","split stance biceps curl","direct",NA,NA
"193",1,1,"low",17,"B","db incline hammer curl","direct",NA,NA
"194",1,1,"low",17,"B","db romanian deadlift","direct",NA,NA
"195",1,1,"low",17,"B","db seated triceps (french press)","direct",NA,NA
"196",1,1,"low",17,"A","db supine triceps ext.","direct",NA,NA
"197",1,1,"low",17,"A","imagine chest press","indirect",NA,NA
"198",1,1,"low",17,"A","imagine leg ext.","direct",NA,NA
"199",1,1,"low",17,"B","imagine overhead press","indirect",NA,NA
"200",1,1,"low",17,"A","imagine seated leg curl","direct",NA,NA
"201",1,1,"low",17,"B","imagine seated row","indirect",NA,NA
